file_name,external_bill_number,reason,status
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051295,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051294,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051291,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051301,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051296,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051293,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051300,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051297,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051299,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051290,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051298,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051292,Duplicate bill number,DUPLICATE
ซื้อ 2-7-2569 แบบละเอียด.xls,A1051302,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051303,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051307,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051309,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051330,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051320,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051313,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051318,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051321,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051319,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051331,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051306,Duplicate bill number,DUPLICATE
ซื้อ 3-7-2569 แบบละเอียด.xls,A1051326,Duplicate bill number,DUPLICATE
